City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,tralee,52.2704,-9.7026,7.14,81,0,1.54,IE,1704643469
160,orchard homes,46.8633,-114.0484,-3.56,90,100,2.06,US,1704643469
161,santiago,-33.4569,-70.6483,27.38,43,0,3.6,CL,1704643420
162,metlaoui,34.3208,8.4016,13.6,41,12,6.48,TN,1704643470
163,portsmouth,50.799,-1.0913,5.51,72,8,4.02,GB,1704643471
164,recreio,-21.525,-42.4692,30.13,65,67,0.96,BR,1704643471
165,new norfolk,-42.7826,147.0587,15.72,99,100,1.0,AU,1704643472
166,yonggwang-up,40.0183,127.4547,-10.55,63,0,2.27,KP,1704643472
167,dudinka,69.4058,86.1778,-19.66,98,100,8.05,RU,1704643472
168,ponta delgada,37.7333,-25.6667,18.44,77,20,6.17,PT,1704643473
169,petropavlovsk-kamchatsky,53.0452,158.6483,-15.86,78,0,5.36,RU,1704643473
170,paka,4.6374,103.4368,26.96,89,99,1.03,MY,1704643473
171,saint-philippe,-21.3585,55.7679,26.77,83,52,6.28,RE,1704643474
172,borba,-4.3878,-59.5939,26.27,78,100,0.88,BR,1704643470
173,okha,53.5739,142.9478,-28.46,97,55,3.12,RU,1704643474
174,rongelap,11.1635,166.8941,27.47,73,100,8.62,MH,1704643474
175,polyarnyy,69.1989,33.4478,-10.04,95,96,6.07,RU,1704643475
176,margaret river,-33.95,115.0667,17.24,77,34,4.75,AU,1704643475
177,tarauaca,-8.1614,-70.7656,25.79,78,99,0.29,BR,1704643476
178,ghat,24.9647,10.1728,21.64,17,24,2.09,LY,1704643476
179,klyuchi,52.2667,79.1667,-5.52,91,92,5.25,RU,1704643476
180,hirara,24.8,125.2833,17.92,67,75,6.17,JP,1704643476
181,yairipok,24.6667,94.0667,11.92,75,0,1.01,IN,1704643477
182,hadibu,12.65,54.0333,23.79,57,5,6.11,YE,1704643477
183,longyearbyen,78.2186,15.6401,-17.09,66,0,5.66,SJ,1704643477
184,port mathurin,-19.6833,63.4167,27.15,77,100,4.99,MU,1704643267
185,alesund,62.4723,6.1549,1.08,55,75,4.63,NO,1704643467
186,uturoa,-16.7333,-151.4333,26.97,77,65,4.79,PF,1704643478
187,palmer,42.1584,-72.3287,-0.93,84,100,5.66,US,1704643375
188,port blair,11.6667,92.75,26.6,72,16,4.65,IN,1704643478
189,iquique,-20.2208,-70.1431,23.02,70,4,4.6,CL,1704643478
190,diapaga,12.0708,1.7889,35.77,7,97,2.43,BF,1704643479
191,mayya,61.7333,130.2811,-49.27,100,60,1.31,RU,1704643479
192,zhanaozen,43.3,52.8,6.76,91,76,7.61,KZ,1704643479
193,aasiaat,68.7098,-52.8699,-10.42,78,100,4.33,GL,1704643479
194,metlili chaamba,32.2667,3.6333,14.52,25,0,4.63,DZ,1704643480
195,howard springs,-12.497,131.047,26.95,95,100,1.61,AU,1704643480
196,nusaybin,37.0778,41.2178,9.77,66,0,2.06,TR,1704643480
197,san antonio de pale,-1.4014,5.6325,27.45,75,55,4.0,GQ,1704643481
198,katabu,-4.9333,122.5167,24.82,95,85,0.2,ID,1704643481
199,saldanha,-33.0117,17.9442,22.03,74,100,10.06,ZA,1704643481
200,marquelia,16.5833,-98.8167,27.64,53,32,1.03,MX,1704643481
201,bom jesus,-9.0744,-44.3586,32.12,52,100,2.06,BR,1704643315
202,susuman,62.7833,148.1667,-38.9,99,98,0.45,RU,1704643482
203,galveston,29.3669,-94.9669,13.91,90,0,3.6,US,1704643276
204,lavington,-36.05,146.9333,21.6,100,100,2.68,AU,1704643482
205,nantong,32.0303,120.8747,1.66,66,60,3.07,CN,1704643482
206,kuusamo,65.9667,29.1833,-18.98,78,40,1.54,FI,1704643483
207,hithadhoo,-0.6,73.0833,28.25,78,98,6.65,MV,1704643483
208,timbuktu,16.7735,-3.0074,32.74,7,82,4.11,ML,1704643483
209,acarau,-2.8856,-40.12,31.12,59,78,7.2,BR,1704643484
210,chibougamau,49.9168,-74.3659,-14.21,78,100,4.63,CA,1704643372
211,iskateley,67.6803,53.1512,-9.99,95,98,4.47,RU,1704643484
212,forster,-32.1667,152.5167,21.32,82,90,6.61,AU,1704643484
213,pakxan,18.3778,103.6601,23.85,64,22,1.32,LA,1704643485
214,morehead city,34.7229,-76.726,11.01,85,100,4.63,US,1704643381
215,makhambet,47.6667,51.5833,0.63,97,100,5.07,KZ,1704643485
216,nadym,65.5333,72.5167,-22.12,95,100,2.85,RU,1704643485
217,port alfred,-33.5906,26.891,22.32,83,21,2.24,ZA,1704643486
218,mossel bay,-34.1831,22.146,17.96,83,100,3.13,ZA,1704643486
219,guerrero negro,27.9769,-114.0611,16.21,56,6,5.54,MX,1704643487
220,berezovyy,51.6667,135.7,-23.12,96,99,0.87,RU,1704643487
221,keelung,25.1283,121.7419,18.08,56,100,5.78,TW,1704643488
222,awjilah,29.1081,21.2869,16.08,19,1,4.23,LY,1704643488
223,taro,-8.3862,115.28,24.0,90,100,0.49,ID,1704643488
224,tshikapa,-6.4167,20.8,24.88,91,100,0.86,CD,1704643489
225,magadan,59.5667,150.8,-32.16,83,8,2.82,RU,1704643489
226,jamestown,42.097,-79.2353,0.77,99,100,4.12,US,1704642799
227,skjern,55.95,8.5,-5.88,88,5,3.63,DK,1704643489
228,kingston,17.997,-76.7936,30.53,68,20,10.29,JM,1704643489
229,ceeldheer,3.8488,47.1806,25.25,66,63,11.33,SO,1704643490
230,nizhneudinsk,54.9076,99.0276,-19.2,97,34,1.38,RU,1704643490
231,revelstoke,50.9832,-118.2023,1.01,80,100,5.14,CA,1704643490
232,san rafael,-34.6177,-68.3301,28.42,21,0,4.79,AR,1704643491
233,skhira,34.2992,10.07,14.82,39,13,9.47,TN,1704643492
234,jiuquan,39.7432,98.5174,-1.99,30,87,2.29,CN,1704643492
235,luganville,-15.5333,167.1667,26.13,87,100,0.89,VU,1704643492
236,kerikeri,-35.2268,173.9474,19.95,91,27,2.23,NZ,1704643492
237,revda,56.801,59.9303,-17.33,94,100,4.04,RU,1704643493
238,kismayo,-0.3582,42.5454,27.15,75,90,8.28,SO,1704643493
239,gimbi,9.1667,35.8333,18.86,41,100,1.43,ET,1704643493
240,flying fish cove,-10.4217,105.6791,25.82,94,100,2.06,CX,1704643402
241,boali,4.8005,18.1275,35.55,13,17,2.25,CF,1704643493
242,fale old settlement,-9.3852,-171.2468,27.34,80,92,6.01,TK,1704643494
243,faranah,10.0404,-10.7434,35.94,9,68,2.66,GN,1704643494
244,jinan,36.6683,116.9972,-0.64,33,24,1.39,CN,1704643494
245,ternate,0.8,127.4,27.07,80,79,2.8,ID,1704643494
246,padang,-0.9492,100.3543,27.03,88,100,1.42,ID,1704643455
247,carnarvon,-24.8667,113.6333,23.19,83,0,6.86,AU,1704643495
248,lata,40.1629,-8.3327,12.26,57,9,1.07,PT,1704643495
249,caras,-9.0467,-77.8114,23.01,58,61,1.29,PE,1704643495
250,dinghaicun,26.2847,119.7936,11.51,72,99,8.11,CN,1704643495
251,jining,35.405,116.5814,-1.42,44,7,3.08,CN,1704643496
252,shingu,33.7333,135.9833,3.56,56,1,5.43,JP,1704643496
253,shubarshi,48.5872,57.1869,-0.54,94,100,8.19,KZ,1704643497
254,wynyard,-41.0,145.7167,17.3,96,100,1.66,AU,1704643497
255,badger,64.8,-147.5333,-12.05,74,75,3.6,US,1704643497
256,kiffa,16.6166,-11.4045,33.18,7,0,2.69,MR,1704643497
257,kedrovyy,56.1667,91.8167,-20.63,100,88,1.68,RU,1704643498
258,buseresere,-3.0236,31.8747,20.82,81,94,0.65,TZ,1704643498
259,kailua-kona,19.6406,-155.9956,22.55,83,0,3.09,US,1704643430
260,kolda,12.8833,-14.95,38.17,14,0,3.09,SN,1704643498
261,sao jose da coroa grande,-8.8978,-35.1478,30.41,51,1,4.97,BR,1704643498
262,udachny,66.4167,112.4,-24.02,99,100,1.49,RU,1704643499
263,sesheke,-17.4759,24.2968,29.39,44,84,0.21,ZM,1704643499
264,kaiapoi,-43.3783,172.6401,16.71,90,34,4.63,NZ,1704643499
265,ust'-ilimsk,58.0006,102.6619,-21.42,100,99,1.79,RU,1704643499
266,toliara,-23.35,43.6667,27.59,80,37,3.88,MG,1704643500
267,agara,42.0376,43.8238,5.31,63,98,2.03,GE,1704643500
